任务网址,职位信息,分词
https://jobs.51job.com/kunshan/144359410.html,"岗位职责：【不需要露脸】1、与粉丝互动，遵循公司与平台的规章制度，进行绿色健康的直播；2、年满18周岁3、可以长期做，细心，有耐心责任心，服从公司管理。4、良好的沟通技巧,优秀的情绪调整能力5、快速学习的能力,自我要求高5、直播环境需要安静，不能有杂音。【薪资】主播每个月最少的收入是6K到8K，成熟的主播一个月基本上10K以上，上不封顶。【工作地址】在家办公【福利】有提成,奖金奖励,免费培训,节假日小礼品岗位要求：1、善于沟通，抗压性强，情商高，懂得管理和调节自己的情绪，能与直播间的观众进行趣味性互动，有在直播行业发展的意向。2、懂市场营销、能洞悉粉丝真实需求，并能引导他人。3、热爱短视频的拍摄，有文案策划、视频脚本功底。4、能向客户准确推荐合适产品。客服经验、文案经验、销售经验的小伙伴优先（该岗位更适合思维灵活，说话幽默风趣的年轻人，30岁以上同学慎重投递！！！）","主播,）,善于,能,文案,技巧,观众,推荐,直播,趣味性,该,优秀,奖励,6K,情绪,抗压性,、,年轻人,工作,奖金,准确,8K,引导,视频,情商,年满,办公,福利,自己,：,！,与,思维,最少,杂音,露脸,。,市场营销,策划,强,有,调整,可以,以上,；,责任心,，,更,薪资,管理,耐心,经验,】,进行,粉丝,,,5,适合,做,功底,洞悉,培训,周岁,18,沟通,良好,的,热爱,小,免费,10K,收入,服从,调节,节假日,产品,礼品,小伙伴,并,发展,拍摄,规章制度,说话,不能,意向,平台,直播间,环境,健康,是,他人,要求,安静,和,不,高,风趣,懂,短,优先,脚本,行业,地址,2,上,客服,销售,合适,一个月,岗位,每个,封顶,4,学习,慎重,在,向,自我,岁,在家,3,懂得,客户,公司,遵循,投递,需要,细心,提成,到,需求,（,绿色,灵活,月,1,能力,【,30,成熟,互动,真实,基本上,同学,岗位职责,长期,快速,幽默"
https://jobs.51job.com/kunshan/143185309.html,从事项目工程技术管理工作，主要职责为测量放样、制图审核、施工管理、资料编制、方案编制等。,"。,方案,工程技术,施工,等,资料,制图,，,管理,编制,审核,、,项目,放样,从事,为,测量,管理工作,主要职责"
https://jobs.51job.com/kunshan/153875372.html,【配送流程】：1.客户通过网上下单，根据地址打开手机导航骑店里电瓶车配送到客户家里。2.门店配送站统一取单，系统公平派单，无需抢单，配送范围3公里以内。【入职要求】：会骑电瓶车，身体健康，能够吃苦耐劳，无需经验，· 社保类型：意外险· 提成方式：按单提成；· 奖金补贴：高温补贴·节假日加班费·法定节假日三薪·年终奖·绩效奖金·全勤奖·工龄奖·恶劣天气配送补贴【收入结构】：一：操作/路线熟悉可携带6～8个单，送完接着拿单送，平均一天50～80单。二：单价+好评+打赏，综合日均收入300元～600元/天。三：月综合收入8000元起～，能吃苦的月均收入在1-2万以上，薪资范围：10000-15000元/月正常干：8000元~12000元努力干：12000元~16000元 （混日子/不愿意吃苦/请***；谢谢!）四: 车子住宿可以提供解决,"月均,奖,）,元,能,可,.,50,元起,600,站,日均,门店,*,电瓶车,接着,正常,万,!,店里,家里,奖金,统一,300,三,以内,：,根据,8000,二,会,一天,下单,。,打开,配送,以上,可以,；,抢单,全勤奖,~,，,薪资,骑,法定,经验,10000, ,】,完,导航,公平,社保,范围,住宿,恶劣,操作,身体健康,谢谢,提供,的,16000,取单,好评,收入,8,无需,节假日,干,+,单,打赏,-,一,80,要求,熟悉,能够,不,类型,15000,意外险,绩效奖金,6,地址,2,混日子,加班费,吃苦,～,补贴,努力,路线,网上,三薪,派单,·,在,携带,个单,四,系统,车子,年终奖,请,3,客户,天,入职,通过,工龄,提成,天气,到,公里,/,（,手机,愿意,拿单,高温,送,流程,月,1,【,单价,方式,综合,吃苦耐劳,解决,:,12000,结构,平均,按单"
https://jobs.51job.com/kunshan/153238159.html,1.负责蔬菜生鲜超市百货商品配送，驻点配送，不用跑商家节省时间2.单量超级多，长期稳定；3.可提供车住，0元入职，让你工作无忧，4.全市范围内招聘，就近安排工作，站点直接面试，不收取任何费用；5.工作时间：不忙的时候自己安排吃饭休息，不限制接单，多劳多得！【薪资待遇5-7元/单，日均订单60到80（真实单量，一天收入300到450）大金额补贴+奖金，综合薪资9000-12000元/月（上不封顶）【任职要求】1、18-50岁，男女均可，无***；2、会骑电动车，会看导航；3、有无经验均可，新手入职有熟手带跑，超快速上手；【职位福利】商保/高温补贴/加班补贴等福利多多【晋升机会】骑手-站助-站长-主管-城市经理(没三个月一次内部晋升机会）,"）,费用,元,可,.,50,大,日均,待遇,*,9000,节省时间,超市,直接,、,经理,多,站助,工作,就近,奖金,负责,全市,(,300,蔬菜,商保,新手,福利,自己,：,接单,！,你,会,内,一天,商家,多劳多得,订单,跑,熟手,有,配送,加班,；,不忙,带,限制,，,薪资,骑,经验,元入,】,城市,任职,5,有无,导航,站长,主管,时候,生鲜,招聘,范围,60,18,提供,单量,的,晋升,吃饭,收入,金额,时间,+,7,单,收取,车住,-,80,职位,要求,均,三个,不,电动车,超级,无忧,450,驻点,2,上,机会,补贴,多多,职,无,封顶,4,没,手,看,站点,岁,不用,等,男女,3,安排,内部,入职,任何,到,/,（,一次,0,让,高温,月,1,【,百货,真实,综合,骑手,商品,面试,休息,长期,超,12000,稳定,快速"
https://jobs.51job.com/kunshan/153344919.html,"岗位职责：1.自动化项目的售前支持；2.自动化项目电气方案设计和电气元器件选型；3.自动化项目电气系统的软硬件开发，包含电路，PLC，机器人及外围设备的开发；4.自动化项目电气系统的组装、调试以及生产指导；5.自动化项目客户现场安装、调试及售后服务；6. 服从项目组长对于项目组员在整个项目周期内的工作安排；7. 完成领导交办的其他工作；任职资格：1.电气工程及其自动化或自动化相关专业本科以上学历；2.五年以上自动化电气控制相关工作经验,汽车零部件行业优先；3.熟练掌握至少两种以上PLC使用和编程，掌握欧姆龙或西门子PLC的优先；4.熟练掌握各种伺服及外围应用的控制；5.熟练掌握自动化项目各类传感器的使用方法，能判断使用哪种传感器；6.学习能力和理解能力强，能独立分析并解决问题；7. 实干敬业，吃苦耐劳，团队合作精神强；福利及其他：1.工作时间：周一至周五8:30-17:30 周末双休2.福利：社会保险+公积金（养老保险、基本医疗保险、工伤保险、失业保险、生育保险、住房公积金）。3.休假：法律规定的公休假日及婚假、产假、陪产假等法定休假；转正员工每年享受6-10天的带薪年假及5天的全薪病假。4.员工关怀：员工月度生日礼物、员工户外拓展/聚餐/；旅游、公司服务年限奖、公司年会等；员工定期享受一次全面的身体检查。","年会,奖,交办,）,休假日,能,组装,住房,拓展,.,及其,养老保险,至,电气控制,每年,年,电气,选型,各种,对于,关怀,带薪,、,周期,及,工作,病假,现场,控制,生育,假及,以上学历,传感器,福利,：,方案设计,至少,合作,内,陪,种,17,他,。,自动化,生产,外围设备,调试,强,规定,产假,周末,以上,；,公,，,基本,或,解决问题,法定,资格,经验,全薪,服务,月度, ,电路,任职,理解能力,5,,,实干,元器件,工伤保险,定期,项目,社会保险,指导,独立,PLC,医疗保险,西门子,方法,休假,的,软硬件,使用,其他,服从,8,10,并,时间,领导,售前,+,机器人,7,旅游,全面,-,以及,组员,两种,公积金,敬业,应用,和,双休,零部件,周五,身体检查,完成,优先,编程,6,行业,2,汽车,熟练掌握,保险,4,学习,在,开发,包含,判断,周一,售后服务,团队,等,精神,3,哪,失业,转正,客户,安排,天,公司,组长,电气工程,五年,聚餐,/,（,一次,员工,分析,户外,支持,生日礼物,1,外围,能力,婚假,伺服,30,各类,电气系统,掌握,相关,吃苦耐劳,年限,专业本科,:,安装,岗位职责,享受,整个,法律,欧姆龙"
https://jobs.51job.com/kunshan/152697167.html,岗位职责：1、负责公司约50人左右的工作餐，合理搭配员工餐，制定每周食谱；2、负责食堂设备管理，3、负责食堂区域的卫生工作及食品安全管理。任职资格：1、精通各种菜系烹饪；2、持有健康证，有两到三年以上相关工作经验；3、家住附近，有员工食堂工作经验者优先。4、年龄要求30-55岁,"。,精通,搭配,烹饪,制定,菜系,附近,有,岁,食品安全,以上,；,50,合理,3,，,管理,-,资格,各种,公司,经验,持有,者,健康证,两到,、,任职,要求,员工,约,食谱,及,工作,负责,1,年龄,优先,30,人,2,家住,三年,食堂,左右,工作餐,相关,餐,的,岗位职责,区域,：,卫生,55,每周,4,设备"
https://jobs.51job.com/kunshan/153960034.html,岗位职责：1、以公司整体信息化为目标，协调梳理公司各部门数据运行流程，确保信息系统正常使用。2、快速响应处理部门间提出的ERP系统所遇到的问题，记录问题原因，出处，影响及处理办法，管理优化等。3、编写ERP系统操作手册，对ERP系统操作流程进行培训，定期收集问题并汇总，给出解决方案。任职资格：1、本科及以上学历、计算机、信息管理等相关专业。2、3年以上信息系统工作经验，具有（消费类电子、汽车零部件等制造业）ERP系统数据处理工作经验。3、思路清晰、具有较强的沟通及协调能力，具有团队合作意识。,"运行,）,年,办法,电子,部门,正常,、,各,数据,及,工作,目标,制造业,间,以上学历,为,：,编写,合作,原因,协调,。,解决方案,响应,汇总,以上,所,，,管理,本科,资格,提出,经验,问题,优化,进行,信息化,意识,任职,定期,梳理,培训,操作,收集,沟通,影响,的,使用,信息系统,并,确保,思路清晰,较强,信息管理,零部件,2,汽车,ERP,整体,记录,专业,数据处理,给出,出处,系统,对,团队,等,以,3,公司,操作手册,处理,（,消费类,流程,1,能力,遇到,相关,计算机,岗位职责,具有,快速"
https://jobs.51job.com/kunshan/143176232.html,"主要职责： 1.根据品牌的要求做店铺的视觉陈列展示。2.对店员进行相关的培训，以确保他们对品牌、产品、陈列、风格等知识的掌握及了解。 3.负责相关视觉陈列道具的维护，以确保陈列道具的正常使用。 4.与店铺经理及时沟通，了解市场对陈列的需求等，提供专业的意见及提高陈列需求。 5.了解自有产品及其他相关行业的品牌知识等。 6.确保满足品牌需求，为店经理及时提供相关专业意见。 职位描述： 1.3-5年左右服装陈列工作经验。有在奢侈品或设计师品牌的经验尤佳。2.对时尚、颜色、服饰配件等信息知识有所了解。 3.有良好的人际关系及沟通能力。 4.良好的英语书写能力。5.能在较大压力下工作，能接受出差。Key accountabilities: 1.Visual merchandising at store to ensure merchandising display according to brand’s requirements and schedule. Revise the display every month. 2.Provide the merchandising training to store employees to make sure they understand the brand’s products, style, history, etc. 3.Be responsible for relevant equipments of visual merchandising to make sure the equipments workable. 4.Communicate with store manager timely to review store display and know the market, provide professional advice to improve store performance. 5.Understand the products and other relevant knowledge of each brand. 6.Provide timely and professional advice to store manager and Merchandising to make sure the display meet brand’s requirement. Qualifications, skills & experience: 1.About 3-5 years of experience in clothing VM. With Experience in Luxury or high fashion brand is highly preferred. 2.Understand artistic knowledge, fashion, colour, dress fitting, etc. 3.Good communication and interpersonal skill. 4.Good in written English at least.5.Can Work under pressure, accept business travel.请您在申请本职位前，务必仔细阅读并同意本条款： 公司是一家全球性企业，为了给您提供更好的招聘服务和应聘体验，我们可能需要将我们收集的您的个人信息中的部分或全部分享给我们公司的关联公司，包括境外的关联公司。您的个人信息可能被存储在您的居住国、公司总部所在国或者其他国家的服务器内。在该类情形下，公司将采取合理措施以确保该等信息接收方须依相应的合同或法律义务提供必要的信息保护。请您在申请职位前，务必仔细阅读本条款及公司《隐私通告》（您可打开如下链接:，查看中文版《隐私通告》）。若您对本条款之内容或《隐私通告》有任何疑问，请立即终止您的申请；若您继续申请本职位，则视为您明确同意本条款及该《隐私通告》中的一切内容，且您同意我们将您的个人信息转移至公司的关联公司（包括境外的关联公司），或受到来自这些关联公司的访问。","服务器,存储,）,travel,店铺,书写能力,满足,under,Qualifications,能,可,立即,.,及其,employees,know,至,年,关联,分享,该,manager,服饰配件,全球性,描述,history,正常,、,Understand,English,accountabilities,经理,包括,timely,及,工作,according,workable,他们,least.5,communication,’,负责,较大,Revise,equipments,展示,居住,来自,公司总部,requirements,前,experience,skill,国家,make,仔细阅读,：,根据,years,访问,与,VM,措施,each,内,视觉,highly,他,。,设计师,打开,About,若,With,有,店员,自有,ensure,written,中,部分,终止,；,转移,products,，,通告,或,同意,继续,品牌,之,经验,服务,个人信息, ,for,进行,》,Provide,understand,意见,brand,道具,5,,,Luxury,clothing,出差,display,high,条款,情形,视为,服装,中文版,采取,明确,做,fitting,Work,招聘,skills,培训,Visual,they,preferred,提供,左右,沟通,with,良好,接受,收集,如下,则,的,知识,本,and,使用,压力,其他,市场,market,更好,颜色,您,of,接收,the,疑问,产品,Merchandising,或者,境外,全部,并,隐私,dress,确保,s,-,store,应聘,relevant,meet,colour,at,职位,了解,style,是,合同,要求,professional,is,和,interpersonal,in,方须,受到,保护,查看,《,为店,every,other,给,行业,6,2,我们,风格,内容,这些,人际关系,Experience,专业,Communicate,主要职责,1.3,artistic,国,相应,advice,responsible,一切,为了,4,依,下,schedule,在,visual,sure,体验,将,有所,&,merchandising,链接,performance,可能,对,时尚,等,信息,provide,请,以,3,合理,to,knowledge,month,该类,公司,需要,企业,fashion,任何,申请,training,一家,需求,pressure,（,accept,陈列,尤佳,必要,requirement,1,及时,提高,能力,improve,Good,且,被,review,务必,etc,掌握,相关,Be,所在国,Can,business,:,英语,法律义务,or,维护,奢侈品,Key"
https://jobs.51job.com/kunshan/154458457.html,企业优势1包吃包住2看机台，工作轻松3直接在厂区安排住宿4管理人性化5入职零费用，不用体检【招聘要求】：男女不限，18-40岁【住宿环境】：公司免费为员工提供宿舍，4人/6间，宿舍有空调，独立卫生间【上班时间】：两班倒  8：00-20:00/20:00-8:00【车间环境】：工作环境舒适，冬暖夏凉，无尘恒温车间，对身体无任何伤害【薪资待遇】：基本工资2010+绩效（0-1200）+加班费（满了176小时，额外的全部17元/小时）综合工资5000-6000元；【转正时间】：半个月左右【发薪时间】：每月18号发放上月工资。,"冬暖夏凉,）,限,费用,车间,元,每月,伤害,待遇,直接,宿舍,40,1200,工作,20,半个,小时,间,为,：,17,。,基本工资,有,发薪,；,倒,，,上班时间,薪资,管理, ,月工资,人性化,】,5,厂区,2010,绩效,机台,招聘,优势,恒温,住宿,独立,18,空调,提供,左右,的,无尘,免费,8,卫生间,全部,时间,+,身体,-,包吃包住,环境,要求,不,舒适,零,轻松,人,6,2,上,加班费,6000,了,无,工资,5000,4,发放,在,号,看,满,岁,不用,对,男女,3,额外,转正,安排,公司,企业,入职,任何,00,/,（,员工,0,月,两班,1,176,【,体检,综合,:"
https://jobs.51job.com/kunshan/154662889.html,本地新建工厂，大量招聘，应聘当天入职，安排免费吃住上班厂区人事招聘，大量招人:日结，周结，月结工----------------------------------------------薪资待遇小时工：28~32一小时，月薪8500-12000多劳多得正式工：早8晚5，保底工资8000，有五险一金----------------------------------------------薪资发放：每月10号发工资，不压工资，随走随结。可现金----------------------------------------------工作内容：目前主要代加工新款苹果、小米等手机、平板电脑、智能手表和各类高端数码相机，长白班、坐着上班，不过安检门、有流水线和非流水线，可玩手机岗位有质检、扫码、贴标签、组装、包装、储备干部，上班自由，岗位很多，可自行选择（不会可以教）----------------------------------------------福利待遇：公寓住宿，4~6人间，有免费夫妻房，三餐公司免费提供公司为员工缴纳五险一金，不扣工资年终奖20000，季度奖3000根据当前用工需求，主要补苏州厂区空缺----------------------------------------------招聘要求16~50岁，身体只要健康即可，不分时间当天到了就可安排住宿报名点击下方---申请职位----点击微聊---在线添加咨询,"奖,）,报名,组装,可,每月,微聊,50,贴标签,平板,在线,即可,待遇,房,新建,很多,空缺,长白,、,不会,工作,着,补,添加,不过,小时,智能,流水线,周结,不压,安检门,坐,为,上班,：,根据,8000,工厂,干部,招,就,多劳多得,。,吃,福利待遇,有,随走,可以,包装,~,，,薪资,高端,本地,小时工,电脑,5,厂区,正式工,招聘,住,住宿,结工,----,3000,提供,主要,当天,发工资,8500,目前,班,三餐,免费,五险,咨询,8,10,扫码,一金,时间,点击,身体,晚,储备,-,一,应聘,手表,公寓,分,职位,健康,要求,和,不,代加工,可玩,选择,人,6,内容,16,大量,苏州,了,岗位,工资,非,4,发放,教,号,质检,早,数码相机,年终奖,岁,等,---,自由,缴纳,人间,人事,安排,公司,入职,月薪,申请,日结,需求,到,（,----------------------------------------------,手机,当前,员工,不扣,自行,有五险,苹果,20000,月,各类,用工,随结,保底,小米,:,32,新款,12000,夫妻,季度,下方,只要,现金,28"
https://jobs.51job.com/kunshan/144798004.html,岗位职责：1、协助部门完成工程技术方案的编制工作；2、有工程现场技术经验优先考虑。任职要求：1、本科以上学历，工程类相关专业；2、优秀应届毕业生也可。,"。,毕业生,方案,考虑,工程技术,有,应届,可,；,类,技术,，,编制工作,本科,优秀,协助,经验,也,部门,工程,、,任职,要求,1,完成,现场,优先,2,以上学历,相关,专业,的,岗位职责,："
https://jobs.51job.com/kunshan/46378869.html,招聘要求： 高中以上学历； 22-26岁，身高165厘米以上； 有化妆品行业相关工作经验； 品貌端正、举止大方；气质优雅； 口齿清晰，善于表达，有亲和力； 热爱销售工作，热情主动； 具有良好的沟通能力和团队合作精神； 具有敬业精神和承受压力的能力。 cn.hr@sisley.fr 请注明应聘职位及消息来源,"。,身高,注明,有,优雅,善于,岁,团队,请,以上,@,；,.,精神,fr,消息来源,，,亲和力,-,sisley,经验,应聘, , ,表达,化妆品,举止大方,职位,cn,端正,高中,、,要求,和,及,工作,主动,压力,165,能力,22,招聘,气质,行业,口齿清晰,热情,以上学历,相关,销售,良好,品貌,沟通,hr,的,具有,：,26,热爱,承受,厘米,敬业精神,合作"
https://jobs.51job.com/kunshan/152419615.html,职位描述：1、以组织及人才发展工作为核心，聚焦组织文化、负责工厂人事全盘工作，2、根据集团总体发展战略及人力资源整体规划，完善组织形态与运营，持续推进公司组织效能的提升；3、负责工厂中高层干部的管理工作，设计组织和人才发展的相关方案，包括人才选拔体系、干部盘点及干部激励、干部荣誉体系，主动做好相关数据分析，沉淀相关策略并输出建议；4、保持对组织发展前沿理论与方法的学习和研究，能结合集团和工厂人力资源团队实际需求，进行转化应用，赋能管理者与员工，不断激发员工活力；5、处理劳资纠纷、和谐劳动双方的关系，营造良好、积极的工作氛围。6、根据集体要求设定年度培训计划、方案，按要求，有计划的开展，确保达到培训目标，提升员工队伍的素质、提高各项技能；职位要求：1、大中型企业人力资源体系组织发展或干部管理工作十年及以上经验，有制造业人力资源管理工作经验者，优先录用；2、本科及以上学历，人力资源管理、企业管理及心理学相关专业为佳；3、具备组织变革或体系化建设经验，具备薪酬体系、绩效体系、人才发展体系或文化体系中两种以上体系建设经验；4、具备拼搏精神、快速学习、逻辑性强、人际敏感性强。,"能,实际,做好,激发,文化,描述,年度,、,关系,效能,核心,包括,组织变革,及,工作,目标,负责,制造业,活力,劳资纠纷,以上学历,为,积极,：,根据,完善,工厂,与,干部,营造,设定,输出,十年,具备,。,强,有,计划,荣誉,管理者,中,以上,；,，,或,本科,赋能,大中型,管理,经验,为佳,整体规划,进行,转化,和谐,集团,5,主动,绩效,人才,建议,数据分析,各项,培训,沉淀,战略,方法,推进,建设,良好,聚焦,管理工作,的,氛围,激励,总体,人力资源,录用,拼搏精神,方案,保持,并,体系化,确保,中高层,发展,逻辑性,研究,组织,提升,薪酬,达到,体系,者,两种,职位,要求,应用,全盘,和,前沿,资源管理,选拔,素质,劳动,不断,心理学,集体,优先,6,2,理论,人际,形态,敏感性,专业,双方,设计,4,学习,对,团队,开展,以,3,人事,公司,人力,企业,处理,需求,结合,员工,技能,1,队伍,提高,盘点,策略,相关,运营,快速,按,持续"
https://jobs.51job.com/kunshan/120500325.html,要求：  1、五年以上高速精密冲压连接器模具维修、组立工作经验，商用连接器端子冲压经验优先； 2、对冲压机、送料机、校平机等设备使用全部了解。熟悉冲压模具原理，能熟练使用冲压设备；  3、具备一定冲压材料工艺技术和模具结构知识； 4、能独立完成产品检测， 熟悉产品及模具图纸，并了解工件加工工艺； 5、具有良好的问题分析能力和沟通能力。  主要职责：          1. 日常生产中模具修理与维护；          2. 模具预防性维护与保养；          3. 生产异常的原因分析与制定改善对策。,"对策,能,原理,.,工艺,、,及,连接器,工作,检测,维修,：,与,原因,具备,。,生产,中,以上,；,熟练,，,经验,问题, ,5,精密,异常,独立,预防性,沟通,良好,模具,的,知识,使用,产品,材料,改善,全部,并,加工,一定,冲压机,工艺技术,了解,日常,要求,和,熟悉,工件,完成,优先,2,送料机,主要职责,冲压,4,设备,制定,对,图纸,等,修理,3,五年,商用,高速,分析,1,能力,保养,端子,具有,结构,校平机,组立,维护"
https://jobs.51job.com/kunshan/148595044.html,一、岗位职责：1、在所属辖区内推广公司产品销售，负责该属辖区内的开发、客户拜访和维护工作，增加产品销售；渠道开发，提高市场份额，充分了解市场动态，了解竞争对手的情况，及时上报竞争对手的市场情况和动态，并提出合理化建议。2、制定好出差拜访客户计划，定期摆放区域客户维护好所管区域内的客户关系，了解客户需求，具有相对应的公关能力。3、根据客户去求制定相对应产品方案，协助公司地区性的学术性会议推广活动。4、定期核对应收账款，并进行催收。二、任职要求：1、一年以上销售方面经验。2、熟悉医疗器械销售流程，有过医疗器械耗材或设备方面的经验优先。3、有种植牙销售经验的优先。,"公关能力,上报,该,、,属,工作,账款,负责,种植,动态,：,根据,二,去求,内,。,牙,方面,有,计划,以上,；,活动,应收,学术性,，,或,提出,经验,地区性,进行,情况,任职,会议,出差,定期,市场动态,建议,渠道,客户关系,的,市场,合理化,产品,方案,所属,拜访,好,并,摆放,充分,市场份额,一,协助,核对,了解,相对,要求,和,熟悉,推广,优先,有过,2,销售,区域,竞争对手,4,辖区,设备,在,开发,制定,催收,耗材,产品销售,3,客户,医疗器械,公司,需求,一年,流程,1,及时,提高,增加,岗位职责,具有,所管,应,维护"
https://jobs.51job.com/kunshan/100280883.html,岗位职责：1、负责制定美国和英国的市场营销方案；2、负责文案的翻译；3、负责英文邮件的回复；4、负责联系国外媒体资源和广告的投放；任职要求：1、本科以上学历，英文CET4 或以上；2、有相关工作经验者优先考虑；3、有良好的沟通能力和团队协作精神；4、工作认真负责；,"翻译,美国,方案,邮件,考虑,制定,市场营销,有,团队,文案,以上,媒体,；,资源,精神,3,，,或,本科,联系,经验,英文, ,者,国外,、,投放,任职,要求,和,工作,协作,负责,1,能力,优先,英国,2,以上学历,相关,CET4,良好,沟通,广告,认真负责,的,岗位职责,：,回复,4"
https://jobs.51job.com/kunshan/153951235.html,1、药学相关专业，有执业药师证，专科以上学历。2、熟悉GSP质量管理及规范要求。3、有批发公司质量管理部同岗位管理经验3-5年以上。4、抗压能力强。,"药学,。,批发,规范,质量,强,有,以上,3,年,抗压,，,药师,管理,证,-,公司,经验,GSP,、,执业,要求,5,熟悉,及,管理部,1,能力,2,相关,专科,以上学历,同,专业,岗位,4"
https://jobs.51job.com/kunshan/132140436.html,1、能够独立完成有关文案上表现的所有工作，包括策略分析，创意概念，文案撰写及活动环节中所需文案；2、招投标、课题、标准等编制工作；3、完稿前所有文字的撰写，完稿完成时的文字校对；4、配合营销活动、媒体推广，完成策划案的主题、优势提炼、以及相关软文撰写。,"时,。,需,文案,有关,等,媒体,；,活动,环节,3,，,编制工作,提炼,完稿,以及,软文,撰写,、,课题,包括,分析,能够,及,工作,校对,完成,1,推广,优势,中所,独立,上,2,策略,前,相关,配合,文字,的,主题,所有,创意,概念,招投标,表现,营销,4,策划案,标准"
https://jobs.51job.com/kunshan/142375766.html,1、负责公司自动化设备的日常维护、维修工作，确保各设备的稳定运行，设备的年度检修工作。2、负责公司自动化设备硬件、软件的改造与更新工作。3、根据生产工艺要求，修改自动控制系统组态软件的控制方案。4、定期组织自动化人员进行安全、技能培训，努力提高自动化操作人员安全、技术素质。5、加强自动化仪表、设备的日常巡检工作。6、协助采购部寻找合适的设备和零部件供应商。7、确定电子和控制系统损件名称型号，并根据实际情况储备易损部件。8、有针对项目设备、控制系统技术革新、改造提出合理化建议的责任。9、认真贯彻执行公司的各项规章制度。任职资格：1.有自动化设备电控开发设计工作相关经验﹔2.电气符号识别﹐能进行电气线路的连接﹐简单的电气故障处理；熟悉常规电器组件的基本原理、性能及使用方法，熟悉气动、液压等自动化常用机械传动技术专业知识；3.熟练掌握一种及以上PLC(MITSUBISHI﹑西门子等)编程；4.伺服马达使用及选型﹐熟知松下﹑三菱﹑安川等伺服马达；5.具备计算机高级语言，工控程序设计，单片机经验者优先；6.责任心强且勇于担当，富有团队协作精神，具有项目开发设计规划能力。7.接受优秀应届生培养。,"供应商,运行,寻找,三菱,技术革新,能,自动,.,简单,实际,技术,电气,生产工艺,电子,选型,优秀,仪表,MITSUBISHI,气动,年度,、,常用,损件,各,担当,及,工作,富有,协作,负责,(,检修,控制,程序设计,修改,马达,维修,培养,根据,：,与,控制系统,﹐,基本原理,具备,。,自动化,软件,易损,组件,有,9,以上,；,责任心,勇于,，,资格,提出,经验,﹔,进行,情况,任职,5,定期,认真贯彻,线路,项目,建议,采购部,各项,努力提高,安全,高级,培训,PLC,西门子,操作,方法,责任,接受,常规,电器,的,语言,强且,电控,﹑,使用,针对,执行,合理化,8,方案,并,确保,熟知,7,工控,组织,机械传动,加强,储备,规章制度,专业知识,协助,一种,者,日常,要求,人员,和,型号,熟悉,素质,零部件,部件,确定,设计规划,性能,优先,编程,6,2,熟练掌握,),合适,巡检,设计,4,设备,开发,符号,团队,等,故障,精神,3,改造,公司,处理,松下,安川,技能,更新,组态,名称,1,能力,伺服,识别,单片机,相关,应届生,液压,计算机,具有,稳定,硬件,连接,维护"
https://jobs.51job.com/kunshan/154012019.html,"工作职责：（1） 负责与甲方沟通，处理客户投诉售中售后问题；（2） 监控日常客服工作，保证团队工作正常进行；（3） 制作常规管理报表和业务报表；（4） 协助质检及培训对团队人员提供业务流程的培训及服务质量的跟踪；任职要求：（1） 出色的沟通、协调能力，具亲和力，工作推进力强，抗压力强；（2） 熟练使用Office软件；（3） 了解呼叫心中业务，能接受美妆行业，有售后团队经验优先；上班时间：9:00-18:00,13:00-22:00，做五休二轮休排班，法定节假日排班。会涉及出差，大概3-4个月需要外地驻场15-30天，一般在长春管理学生。","）,排班,推进力,能,售中,跟踪,出色,正常,、,甲方,轮休,个,及,工作,负责,心中,学生,：,与,二,会,协调,。,软件,强,有,美妆,投诉,9,13,；,熟练,大概,，,具,上班时间,售后,管理,法定,一般,经验,问题, ,进行,任职,,,出差,培训,18,提供,沟通,接受,常规,的,15,使用,压力,节假日,监控,长春,服务质量,外地,保证,-,协助,了解,日常,人员,要求,和,优先,22,行业,2,客服,做五休,制作,4,抗,在,质检,团队,对,业务流程,3,亲和力,客户,天,需要,00,处理,驻场,（,Office,报表,月,1,能力,30,:,呼叫,职责,业务,涉及"
